subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
franc-task2,1,1,1,near_miss,MISS,none,fast,start-fast,start,46.70,0,0,0.0000,HIT,1239.48,0,0,2026-07-10T15:55:07.7742540+02:00
franc-task2,1,1,2,near_miss,MISS,fast,fast,fast-fast,repetition,-51.32,0,0,0.0000,MISS,1238.88,1,0,2026-07-10T15:55:12.7848320+02:00
franc-task2,1,1,3,clear_miss,MISS,fast,fast,fast-fast,repetition,65.59,0,0,0.0000,MISS,1085.84,1,0,2026-07-10T15:55:17.6434177+02:00
franc-task2,1,1,4,near_hit,MISS,fast,fast,fast-fast,repetition,-33.17,0,0,0.0000,HIT,988.25,0,0,2026-07-10T15:55:22.5579156+02:00
franc-task2,1,1,5,clear_miss,MISS,fast,fast,fast-fast,repetition,-82.27,0,0,0.0000,MISS,1364.50,1,0,2026-07-10T15:55:27.9458378+02:00
franc-task2,1,1,6,near_miss,MISS,fast,fast,fast-fast,repetition,-56.46,0,0,0.0000,MISS,612.53,1,0,2026-07-10T15:55:32.2065569+02:00
franc-task2,1,1,7,near_hit,MISS,fast,fast,fast-fast,repetition,-37.31,0,0,0.0000,MISS,723.98,1,0,2026-07-10T15:55:37.3295951+02:00
franc-task2,1,1,8,clear_miss,MISS,fast,fast,fast-fast,repetition,84.52,0,0,0.0000,HIT,1364.53,0,0,2026-07-10T15:55:42.9821255+02:00
franc-task2,1,1,9,near_miss,MISS,fast,fast,fast-fast,repetition,-59.51,0,0,0.0000,MISS,1156.55,1,0,2026-07-10T15:55:47.7859416+02:00
franc-task2,1,1,10,near_hit,MISS,fast,slow,fast-slow,transition,36.86,0,0,0.0000,MISS,835.29,1,0,2026-07-10T15:55:52.4777349+02:00
franc-task2,1,1,11,clear_hit,HIT,slow,slow,slow-slow,repetition,9.05,0,0,0.0000,HIT,1044.03,1,0,2026-07-10T15:55:59.9816175+02:00
franc-task2,1,1,12,near_miss,MISS,slow,slow,slow-slow,repetition,-45.18,0,0,0.0000,MISS,918.88,1,0,2026-07-10T15:56:07.1510684+02:00
franc-task2,1,1,13,near_miss,MISS,slow,fast,slow-fast,transition,-55.51,0,0,0.0000,MISS,794.18,1,0,2026-07-10T15:56:14.3180918+02:00
franc-task2,1,1,14,clear_miss,MISS,fast,fast,fast-fast,repetition,69.49,0,0,0.0000,MISS,808.46,1,0,2026-07-10T15:56:19.3350363+02:00
franc-task2,1,1,15,near_hit,MISS,fast,fast,fast-fast,repetition,-41.66,0,0,0.0000,HIT,1072.04,0,0,2026-07-10T15:56:24.6106276+02:00
franc-task2,1,1,16,clear_miss,MISS,fast,fast,fast-fast,repetition,71.10,0,0,0.0000,MISS,696.07,1,0,2026-07-10T15:56:29.2460361+02:00
franc-task2,1,1,17,near_miss,MISS,fast,fast,fast-fast,repetition,-52.63,0,0,0.0000,MISS,765.62,1,0,2026-07-10T15:56:34.3270733+02:00
franc-task2,1,1,18,near_hit,MISS,fast,fast,fast-fast,repetition,-44.19,0,0,0.0000,MISS,918.87,1,0,2026-07-10T15:56:39.4922814+02:00
franc-task2,1,1,19,clear_hit,HIT,fast,fast,fast-fast,repetition,-11.24,0,0,0.0000,HIT,932.94,1,0,2026-07-10T15:56:44.5180500+02:00
franc-task2,1,1,20,near_miss,MISS,fast,slow,fast-slow,transition,-45.26,0,0,0.0000,MISS,876.85,1,0,2026-07-10T15:56:49.4750058+02:00
franc-task2,1,1,21,near_miss,MISS,slow,slow,slow-slow,repetition,-59.52,0,0,0.0000,MISS,1461.88,1,0,2026-07-10T15:56:57.3552242+02:00
franc-task2,1,1,22,clear_hit,HIT,slow,slow,slow-slow,repetition,-0.44,0,0,0.0000,MISS,960.72,0,0,2026-07-10T15:57:04.1486401+02:00
franc-task2,1,1,23,clear_miss,MISS,slow,slow,slow-slow,repetition,-84.88,0,0,0.0000,MISS,1197.71,1,0,2026-07-10T15:57:11.6810307+02:00
franc-task2,1,1,24,near_miss,MISS,slow,slow,slow-slow,repetition,-56.10,0,0,0.0000,MISS,751.63,1,0,2026-07-10T15:57:18.5306312+02:00
franc-task2,1,1,25,clear_hit,HIT,slow,slow,slow-slow,repetition,0.00,0,0,0.0000,HIT,723.61,1,0,2026-07-10T15:57:25.7975149+02:00
franc-task2,1,1,26,near_miss,MISS,slow,slow,slow-slow,repetition,-45.58,0,0,0.0000,MISS,946.73,1,0,2026-07-10T15:57:33.3162797+02:00
franc-task2,1,1,27,near_hit,MISS,slow,fast,slow-fast,transition,-43.17,0,0,0.0000,MISS,709.56,1,0,2026-07-10T15:57:40.3751046+02:00
franc-task2,1,1,28,near_miss,MISS,fast,fast,fast-fast,repetition,-51.01,0,0,0.0000,MISS,557.27,1,0,2026-07-10T15:57:45.2334267+02:00
franc-task2,1,1,29,clear_hit,HIT,fast,fast,fast-fast,repetition,1.76,0,0,0.0000,HIT,904.60,1,0,2026-07-10T15:57:50.5932585+02:00
franc-task2,1,1,30,near_hit,MISS,fast,slow,fast-slow,transition,-33.21,0,0,0.0000,MISS,904.66,1,0,2026-07-10T15:57:55.6052521+02:00
franc-task2,1,1,31,clear_miss,MISS,slow,slow,slow-slow,repetition,-76.95,0,0,0.0000,MISS,807.54,1,0,2026-07-10T15:58:02.8029626+02:00
franc-task2,1,1,32,near_hit,MISS,slow,slow,slow-slow,repetition,41.86,0,0,0.0000,MISS,877.35,1,0,2026-07-10T15:58:10.1685659+02:00
franc-task2,1,1,33,near_hit,MISS,slow,fast,slow-fast,transition,-32.72,0,0,0.0000,HIT,682.34,0,0,2026-07-10T15:58:17.2693034+02:00
franc-task2,1,1,34,clear_miss,MISS,fast,fast,fast-fast,repetition,-83.75,0,0,0.0000,MISS,752.01,1,0,2026-07-10T15:58:22.3516575+02:00
franc-task2,1,1,35,near_miss,MISS,fast,fast,fast-fast,repetition,51.23,0,0,0.0000,MISS,1072.20,1,0,2026-07-10T15:58:27.6833328+02:00
franc-task2,1,1,36,clear_hit,HIT,fast,fast,fast-fast,repetition,-9.59,0,0,0.0000,HIT,640.34,1,0,2026-07-10T15:58:32.2629888+02:00
franc-task2,1,1,37,near_hit,MISS,fast,slow,fast-slow,transition,-31.77,0,0,0.0000,MISS,822.09,1,0,2026-07-10T15:58:37.4568329+02:00
franc-task2,1,1,38,near_miss,MISS,slow,slow,slow-slow,repetition,52.24,0,0,0.0000,HIT,863.19,0,0,2026-07-10T15:58:44.7930026+02:00
