Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
11.330953,pps_trial_start,PRACTICE_T01,TactileOnly,,,19,19
12.834753,pps_vib_fired,PRACTICE_T01,,,,D4,127
13.126807,pps_response,,,,,,62
15.848616,pps_trial_start,PRACTICE_T02,TactileOnly,,,13,13
17.691697,pps_vib_fired,PRACTICE_T02,,,,D3,127
17.914903,pps_response,,,,,,62
22.984199,pps_trial_start,practice_visual_only_slow,VisualOnly,,,1,1
27.703764,pps_trial_start,practice_visual_only_fast,VisualOnly,,,2,2
34.455712,pps_trial_start,PRACTICE_T01,VisualOnly,,,3,3
39.175498,pps_trial_start,PRACTICE_T02,Both,,,47,47
40.874270,pps_vib_fired,PRACTICE_T02,,,,D4,127
41.361584,pps_response,,,,,,62
43.895425,pps_trial_start,PRACTICE_T03,Both,,,41,41
45.941809,pps_vib_fired,PRACTICE_T03,,,,D3,127
46.261948,pps_response,,,,,,62
60.435163,pps_session_start,,,,,,61
63.594340,pps_trial_start,B1_T01,Both,,,56,56
64.054567,pps_vib_fired,B1_T01,,,,D6,127
64.332675,pps_response,,,,,,62
68.105862,pps_trial_start,B1_T02,Both,,,57,57
68.314227,pps_vib_fired,B1_T02,,,,D7,127
68.620833,pps_response,,,,,,62
72.824146,pps_trial_start,B1_T03,Both,,,54,54
73.283780,pps_vib_fired,B1_T03,,,,D6,127
73.520883,pps_response,,,,,,62
77.336257,pps_trial_start,B1_T04,VisualOnly,,,2,2
78.868165,pps_response,,,,,,62
81.847681,pps_trial_start,B1_T05,TactileOnly,,,27,27
82.626994,pps_vib_fired,B1_T05,,,,D6,127
82.961723,pps_response,,,,,,62
86.358126,pps_trial_start,B1_T06,Both,,,41,41
88.404104,pps_vib_fired,B1_T06,,,,D3,127
88.738395,pps_response,,,,,,62
91.077178,pps_trial_start,B1_T07,Both,,,37,37
93.499852,pps_vib_fired,B1_T07,,,,D2,127
93.821055,pps_response,,,,,,62
95.796989,pps_trial_start,B1_T08,Both,,,33,33
98.997960,pps_vib_fired,B1_T08,,,,D1,127
99.304439,pps_response,,,,,,62
100.808677,pps_trial_start,B1_T09,TactileOnly,,,17,17
102.312298,pps_vib_fired,B1_T09,,,,D4,127
102.758035,pps_response,,,,,,62
105.319474,pps_trial_start,B1_T10,Both,,,46,46
