subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
franc,1,1,1,VT,1,fast,wide,D6,63594.340,63594.340,64290.851,64416.491,64541.647,64792.331,64054.567,64332.675,278.1,None,0,2026-07-10T15:07:46.1019068+02:00
franc,1,1,2,VT,1,slow,narrow,D7,68105.862,68105.862,69803.918,70152.186,70527.741,71307.161,68314.227,68620.833,306.6,None,0,2026-07-10T15:07:50.8200858+02:00
franc,1,1,3,VT,1,fast,narrow,D6,72824.146,72824.146,73520.883,73632.429,73771.186,74022.036,73283.780,73520.883,237.1,None,0,2026-07-10T15:07:55.3315633+02:00
franc,1,1,4,V,1,fast,narrow,,77336.257,77336.257,78032.845,78158.013,78283.422,78533.410,,78868.165,,None,0,2026-07-10T15:07:59.8432303+02:00
franc,1,1,5,T,1,slow,wide,D6,81847.681,,,,,,82626.994,82961.723,334.7,None,0,2026-07-10T15:08:04.3550008+02:00
franc,1,1,6,VT,1,slow,narrow,D3,86358.126,86358.126,88056.180,88404.104,88780.430,89545.866,88404.104,88738.395,334.3,None,0,2026-07-10T15:08:09.0747487+02:00
franc,1,1,7,VT,1,slow,narrow,D2,91077.178,91077.178,92775.790,93124.362,93499.852,94266.084,93499.852,93821.055,321.2,None,0,2026-07-10T15:08:13.7945287+02:00
franc,1,1,8,VT,1,slow,narrow,D1,95796.989,95796.989,97495.857,97844.392,98231.108,98997.960,98997.960,99304.439,306.5,None,0,2026-07-10T15:08:18.8134508+02:00
franc,1,1,9,T,1,slow,narrow,D4,100808.677,,,,,,102312.298,102758.035,445.7,None,0,2026-07-10T15:08:23.3171064+02:00
franc,1,1,10,VT,1,fast,narrow,D4,105319.474,105319.474,106015.552,106140.172,106265.506,106516.258,106015.552,106350.251,334.7,None,0,2026-07-10T15:08:27.8283406+02:00
franc,1,1,11,VT,1,fast,wide,D7,109829.989,109829.989,110526.040,110651.227,110776.961,111026.959,110039.585,110471.096,431.5,None,0,2026-07-10T15:08:32.3395288+02:00
franc,1,1,12,V,0,slow,wide,,114340.377,114340.377,116039.537,116387.354,116763.259,117528.676,,,,None,0,2026-07-10T15:08:37.0594848+02:00
franc,1,1,13,T,1,slow,wide,D3,119061.475,,,,,,120911.427,125297.290,4385.9,None,0,2026-07-10T15:08:44.8057638+02:00
franc,1,1,14,VT,1,fast,narrow,D1,126801.212,126801.212,127497.195,127622.807,127748.062,127998.496,127998.496,128277.113,278.6,None,0,2026-07-10T15:08:49.3120603+02:00
