Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
7.241687,phase_intro,,,,,,51
8.146536,phase_controller_practice,,,,,,32
12.642999,phase_difficult_practice,,,,,,35
13.868857,trial_spawn,PRACTICE_T01,near_hit,Miss,,7,7
15.162845,controller_right,,,,,,41
18.713613,block_end,,,,,,30
19.966515,phase_block,,,,,,25
19.980569,trial_spawn,B1_T01,near_hit,Miss,,7,7
20.913219,controller_left,,,,,,40
26.565034,trial_spawn,B1_T02,clear_miss,Miss,,20,20
27.219670,controller_right,,,,,,41
32.927908,trial_spawn,B1_T03,clear_hit,Hit,,2,2
33.971444,controller_left,,,,,,40
40.264530,trial_spawn,B1_T04,near_miss,Miss,,14,14
41.002590,controller_right,,,,,,41
45.109318,block_end,,,,,,30
45.109318,phase_rest,,,,,,53
0.000000,session_end,,,,,,57
