Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
6.596046,phase_intro,,,,,,51
9.102159,phase_controller_practice,,,,,,32
17.050674,phase_difficult_practice,,,,,,35
18.484355,trial_spawn,PRACTICE_T01,near_miss,Miss,,13,13
19.779106,controller_left,,,,,,40
22.368519,controller_right,,,,,,41
24.985762,trial_spawn,PRACTICE_T02,near_hit,Miss,,7,7
26.029709,controller_right,,,,,,41
31.710233,trial_spawn,PRACTICE_T03,clear_hit,Hit,,1,1
32.782286,controller_left,,,,,,40
38.434265,trial_spawn,PRACTICE_T04,clear_miss,Miss,,19,19
39.673734,controller_right,,,,,,41
45.005929,trial_spawn,PRACTICE_T05,clear_hit,Hit,,1,1
46.815802,controller_right,,,,,,41
51.465540,trial_spawn,PRACTICE_T06,near_hit,Miss,,7,7
52.900224,controller_right,,,,,,41
58.566707,trial_spawn,PRACTICE_T07,near_miss,Miss,,13,13
59.638773,controller_right,,,,,,41
64.984304,trial_spawn,PRACTICE_T08,near_hit,Miss,,7,7
66.070171,controller_right,,,,,,41
71.555871,trial_spawn,PRACTICE_T09,near_miss,Miss,,13,13
72.669598,controller_right,,,,,,41
78.182083,trial_spawn,PRACTICE_T10,clear_miss,Miss,,19,19
79.073169,controller_right,,,,,,41
83.026884,block_end,,,,,,30
85.310213,phase_block,,,,,,25
85.324252,trial_spawn,B1_T01,near_miss,Miss,,13,13
86.451825,controller_right,,,,,,41
92.034442,trial_spawn,B1_T02,clear_miss,Miss,,20,20
92.827791,controller_right,,,,,,41
99.371546,trial_spawn,B1_T03,clear_hit,Hit,,2,2
100.234737,controller_left,,,,,,40
106.219765,trial_spawn,B1_T04,near_miss,Miss,,14,14
107.027814,controller_right,,,,,,41
113.112291,trial_spawn,B1_T05,clear_miss,Miss,,24,24
113.780411,controller_right,,,,,,41
118.012617,trial_spawn,B1_T06,near_miss,Miss,,17,17
118.680955,controller_right,,,,,,41
122.940682,trial_spawn,B1_T07,clear_hit,Hit,,5,5
123.650803,controller_left,,,,,,40
127.465693,trial_spawn,B1_T08,clear_miss,Miss,,21,21
128.161688,controller_right,,,,,,41
134.287544,trial_spawn,B1_T09,near_miss,Miss,,14,14
135.513279,controller_right,,,,,,41
140.747584,trial_spawn,B1_T10,clear_miss,Miss,,20,20
141.318053,controller_right,,,,,,41
147.861875,trial_spawn,B1_T11,clear_hit,Hit,,2,2
148.850171,controller_left,,,,,,40
154.697876,trial_spawn,B1_T12,near_miss,Miss,,18,18
155.310441,controller_right,,,,,,41
159.570916,trial_spawn,B1_T13,near_hit,Miss,,11,11
160.141867,controller_left,,,,,,40
164.917150,trial_spawn,B1_T14,near_miss,Miss,,17,17
165.557639,controller_right,,,,,,41
169.497119,trial_spawn,B1_T15,clear_hit,Hit,,5,5
170.221187,controller_left,,,,,,40
174.425146,trial_spawn,B1_T16,near_miss,Miss,,17,17
175.121083,controller_right,,,,,,41
179.394923,trial_spawn,B1_T17,clear_hit,Hit,,5,5
179.993516,controller_left,,,,,,40
183.961140,trial_spawn,B1_T18,near_miss,Miss,,15,15
184.755529,controller_right,,,,,,41
190.812057,trial_spawn,B1_T19,clear_hit,Hit,,2,2
191.702649,controller_left,,,,,,40
197.410295,trial_spawn,B1_T20,near_hit,Miss,,8,8
198.231186,controller_right,,,,,,41
204.481929,trial_spawn,B1_T21,near_miss,Miss,,14,14
205.220311,controller_right,,,,,,41
211.151925,trial_spawn,B1_T22,near_hit,Miss,,8,8
211.834030,controller_right,,,,,,41
