subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
pam,1,1,1,near_miss,MISS,none,slow,start-slow,start,59.72,0,0,0.0000,MISS,1127.58,1,0,2026-07-14T15:56:10.5394262+02:00
pam,1,1,2,clear_miss,MISS,slow,slow,slow-slow,repetition,-84.84,0,0,0.0000,MISS,793.35,1,0,2026-07-14T15:56:16.9150406+02:00
pam,1,1,3,clear_hit,HIT,slow,slow,slow-slow,repetition,-19.75,0,0,0.0000,HIT,863.19,1,0,2026-07-14T15:56:24.3214024+02:00
pam,1,1,4,near_miss,MISS,slow,slow,slow-slow,repetition,56.48,0,0,0.0000,MISS,808.05,1,0,2026-07-14T15:56:31.1145327+02:00
pam,1,1,5,clear_miss,MISS,slow,fast,slow-fast,transition,62.67,0,0,0.0000,MISS,668.12,1,0,2026-07-14T15:56:37.8670631+02:00
pam,1,1,6,near_miss,MISS,fast,fast,fast-fast,repetition,-47.68,0,0,0.0000,MISS,668.34,1,0,2026-07-14T15:56:42.7674459+02:00
pam,1,1,7,clear_hit,HIT,fast,fast,fast-fast,repetition,-21.07,0,0,0.0000,HIT,710.12,1,0,2026-07-14T15:56:47.7377052+02:00
pam,1,1,8,clear_miss,MISS,fast,slow,fast-slow,transition,86.06,0,0,0.0000,MISS,696.00,1,0,2026-07-14T15:56:52.2485782+02:00
pam,1,1,9,near_miss,MISS,slow,slow,slow-slow,repetition,-52.15,0,0,0.0000,MISS,1225.74,1,0,2026-07-14T15:56:59.6003234+02:00
pam,1,1,10,clear_miss,MISS,slow,slow,slow-slow,repetition,85.49,0,0,0.0000,MISS,570.46,1,0,2026-07-14T15:57:05.4042895+02:00
pam,1,1,11,clear_hit,HIT,slow,slow,slow-slow,repetition,28.20,0,0,0.0000,HIT,988.29,1,0,2026-07-14T15:57:12.9371026+02:00
pam,1,1,12,near_miss,MISS,slow,fast,slow-fast,transition,46.83,0,0,0.0000,MISS,612.57,1,0,2026-07-14T15:57:19.3972503+02:00
pam,1,1,13,near_hit,MISS,fast,fast,fast-fast,repetition,-32.07,0,0,0.0000,HIT,570.94,0,0,2026-07-14T15:57:24.2284882+02:00
pam,1,1,14,near_miss,MISS,fast,fast,fast-fast,repetition,-49.40,0,0,0.0000,MISS,640.49,1,0,2026-07-14T15:57:29.6441631+02:00
pam,1,1,15,clear_hit,HIT,fast,fast,fast-fast,repetition,20.25,0,0,0.0000,HIT,724.07,1,0,2026-07-14T15:57:34.3079348+02:00
pam,1,1,16,near_miss,MISS,fast,fast,fast-fast,repetition,57.02,0,0,0.0000,MISS,695.94,1,0,2026-07-14T15:57:39.2078493+02:00
pam,1,1,17,clear_hit,HIT,fast,fast,fast-fast,repetition,-18.00,0,0,0.0000,HIT,598.59,1,0,2026-07-14T15:57:44.0800321+02:00
pam,1,1,18,near_miss,MISS,fast,slow,fast-slow,transition,-51.95,0,0,0.0000,MISS,794.39,1,0,2026-07-14T15:57:48.8422628+02:00
pam,1,1,19,clear_hit,HIT,slow,slow,slow-slow,repetition,19.87,0,0,0.0000,HIT,890.59,1,0,2026-07-14T15:57:55.7896530+02:00
pam,1,1,20,near_hit,MISS,slow,slow,slow-slow,repetition,-43.53,0,0,0.0000,MISS,820.89,1,0,2026-07-14T15:58:02.3182222+02:00
pam,1,1,21,near_miss,MISS,slow,slow,slow-slow,repetition,46.11,0,0,0.0000,MISS,738.38,1,0,2026-07-14T15:58:09.3071175+02:00
pam,1,1,22,near_hit,MISS,slow,slow,slow-slow,repetition,-32.49,0,0,0.0000,MISS,682.10,1,0,2026-07-14T15:58:15.9207558+02:00
pam,1,1,23,near_miss,MISS,slow,fast,slow-fast,transition,-50.13,0,0,0.0000,MISS,696.13,1,0,2026-07-14T15:58:22.7563890+02:00
pam,1,1,24,near_hit,MISS,fast,fast,fast-fast,repetition,34.57,0,0,0.0000,HIT,668.56,0,0,2026-07-14T15:58:27.9037811+02:00
pam,1,1,25,clear_hit,HIT,fast,fast,fast-fast,repetition,17.80,0,0,0.0000,MISS,543.64,0,0,2026-07-14T15:58:32.3345769+02:00
pam,1,1,26,clear_miss,MISS,fast,fast,fast-fast,repetition,-88.29,0,0,0.0000,MISS,626.42,1,0,2026-07-14T15:58:36.9977457+02:00
pam,1,1,27,near_miss,MISS,fast,fast,fast-fast,repetition,51.82,0,0,0.0000,MISS,626.12,1,0,2026-07-14T15:58:42.0934388+02:00
pam,1,1,28,clear_miss,MISS,fast,fast,fast-fast,repetition,-85.70,0,0,0.0000,MISS,598.70,1,0,2026-07-14T15:58:46.9942458+02:00
pam,1,1,29,near_hit,MISS,fast,fast,fast-fast,repetition,-37.47,0,0,0.0000,MISS,612.56,1,0,2026-07-14T15:58:52.4098451+02:00
pam,1,1,30,clear_miss,MISS,fast,slow,fast-slow,transition,-62.75,0,0,0.0000,MISS,723.92,1,0,2026-07-14T15:58:57.7136268+02:00
pam,1,1,31,near_miss,MISS,slow,slow,slow-slow,repetition,-57.57,0,0,0.0000,MISS,696.13,1,0,2026-07-14T15:59:04.7165335+02:00
pam,1,1,32,clear_hit,HIT,slow,slow,slow-slow,repetition,28.31,0,0,0.0000,MISS,1823.87,0,0,2026-07-14T15:59:12.7357604+02:00
pam,1,1,33,clear_miss,MISS,slow,fast,slow-fast,transition,-62.20,0,0,0.0000,MISS,682.65,1,0,2026-07-14T15:59:18.7368047+02:00
pam,1,1,34,near_hit,MISS,fast,fast,fast-fast,repetition,-40.21,0,0,0.0000,MISS,529.60,1,0,2026-07-14T15:59:23.7491060+02:00
pam,1,1,35,near_miss,MISS,fast,fast,fast-fast,repetition,55.17,0,0,0.0000,MISS,696.14,1,0,2026-07-14T15:59:29.3032529+02:00
pam,1,1,36,clear_miss,MISS,fast,slow,fast-slow,transition,-77.48,0,0,0.0000,MISS,808.02,1,0,2026-07-14T15:59:34.3713208+02:00
pam,1,1,37,near_miss,MISS,slow,slow,slow-slow,repetition,59.14,0,0,0.0000,MISS,1587.41,1,0,2026-07-14T15:59:42.3057688+02:00
pam,1,1,38,near_hit,MISS,slow,slow,slow-slow,repetition,-41.96,0,0,0.0000,MISS,960.81,1,0,2026-07-14T15:59:48.0426229+02:00
pam,1,1,39,near_miss,MISS,slow,slow,slow-slow,repetition,-54.22,0,0,0.0000,MISS,682.39,1,0,2026-07-14T15:59:54.1538284+02:00
pam,1,1,40,near_hit,MISS,slow,fast,slow-fast,transition,-43.89,0,0,0.0000,MISS,542.66,1,0,2026-07-14T16:00:00.5996661+02:00
pam,1,1,41,near_miss,MISS,fast,fast,fast-fast,repetition,49.72,0,0,0.0000,MISS,627.22,1,0,2026-07-14T16:00:05.1522876+02:00
pam,1,1,42,clear_miss,MISS,fast,fast,fast-fast,repetition,-61.74,0,0,0.0000,MISS,626.58,1,0,2026-07-14T16:00:09.7881239+02:00
pam,1,1,43,near_hit,MISS,fast,fast,fast-fast,repetition,34.62,0,0,0.0000,MISS,640.22,1,0,2026-07-14T16:00:14.6746084+02:00
pam,1,1,44,clear_hit,HIT,fast,slow,fast-slow,transition,16.81,0,0,0.0000,HIT,932.67,1,0,2026-07-14T16:00:20.1882424+02:00
pam,1,1,45,near_hit,MISS,slow,slow,slow-slow,repetition,35.87,0,0,0.0000,MISS,849.85,1,0,2026-07-14T16:00:27.1072085+02:00
pam,1,1,46,clear_hit,HIT,slow,slow,slow-slow,repetition,28.17,0,0,0.0000,MISS,1364.82,0,0,2026-07-14T16:00:33.9713622+02:00
pam,1,1,47,near_hit,MISS,slow,fast,slow-fast,transition,-31.49,0,0,0.0000,MISS,696.51,1,0,2026-07-14T16:00:40.5701339+02:00
pam,1,1,48,near_miss,MISS,fast,fast,fast-fast,repetition,46.60,0,0,0.0000,MISS,765.55,1,0,2026-07-14T16:00:45.7900708+02:00
pam,1,1,49,clear_hit,HIT,fast,fast,fast-fast,repetition,-16.63,0,0,0.0000,MISS,891.11,0,0,2026-07-14T16:00:50.9406291+02:00
pam,1,1,50,clear_miss,MISS,fast,fast,fast-fast,repetition,68.98,0,0,0.0000,MISS,640.49,1,0,2026-07-14T16:00:55.2296036+02:00
pam,1,1,51,near_hit,MISS,fast,slow,fast-slow,transition,-43.30,0,0,0.0000,MISS,1266.62,1,0,2026-07-14T16:01:00.9369733+02:00
pam,1,1,52,near_miss,MISS,slow,slow,slow-slow,repetition,54.34,0,0,0.0000,MISS,612.56,1,0,2026-07-14T16:01:06.6314833+02:00
