Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
8.085178,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
9.627333,pps_response,,,,,,62
11.058660,pps_vib_fired,PRACTICE_T01,,,,D4,64
14.779438,pps_trial_start,PRACTICE_T02,TactileOnly,,,18,18
15.905081,pps_vib_fired,PRACTICE_T02,,,,D4,64
20.944191,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
22.499519,pps_response,,,,,,62
27.678729,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
28.581227,pps_response,,,,,,62
33.218932,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
36.385195,pps_response,,,,,,62
39.676839,pps_trial_start,PRACTICE_T02,Both,,,45,45
41.842670,pps_response,,,,,,62
42.648051,pps_vib_fired,PRACTICE_T02,,,,D4,64
46.453430,pps_trial_start,PRACTICE_T03,Both,,,46,46
47.161947,pps_response,,,,,,62
47.564322,pps_vib_fired,PRACTICE_T03,,,,D4,64
50.424917,pps_session_start,,,,,,61
52.993326,pps_trial_start,B1_T01,TactileOnly,,,17,17
55.298749,pps_response,,,,,,62
55.965000,pps_vib_fired,B1_T01,,,,D4,64
59.561954,pps_trial_start,B1_T02,Both,,,34,34
60.048314,pps_response,,,,,,62
61.436842,pps_vib_fired,B1_T02,,,,D1,64
62.672658,pps_trial_start,B1_T03,VisualOnly,,,1,1
63.394987,pps_response,,,,,,62
68.948957,pps_trial_start,B1_T04,VisualOnly,,,2,2
69.698992,pps_response,,,,,,62
72.115018,pps_trial_start,B1_T05,TactileOnly,,,17,17
75.031833,pps_response,,,,,,62
75.087172,pps_vib_fired,B1_T05,,,,D4,64
78.392574,pps_trial_start,B1_T06,Both,,,49,49
79.573107,pps_response,,,,,,62
80.697567,pps_vib_fired,B1_T06,,,,D5,64
84.904906,pps_trial_start,B1_T07,Both,,,41,41
87.112965,pps_response,,,,,,62
88.543185,pps_vib_fired,B1_T07,,,,D3,64
91.501397,pps_trial_start,B1_T08,VisualOnly,,,1,1
92.681309,pps_response,,,,,,62
97.777879,pps_trial_start,B1_T09,TactileOnly,,,9,9
98.472509,pps_response,,,,,,62
102.082187,pps_vib_fired,B1_T09,,,,D2,64
104.373833,pps_trial_start,B1_T10,Both,,,57,57
105.345868,pps_vib_fired,B1_T10,,,,D7,64
111.108587,pps_trial_start,B1_T11,Both,,,37,37
115.136080,pps_response,,,,,,62
115.413371,pps_vib_fired,B1_T11,,,,D2,64
117.482008,pps_trial_start,B1_T12,TactileOnly,,,26,26
118.107017,pps_vib_fired,B1_T12,,,,D6,64
121.245881,pps_trial_start,B1_T13,Both,,,53,53
122.884236,pps_vib_fired,B1_T13,,,,D6,64
128.508264,pps_trial_start,B1_T14,VisualOnly,,,1,1
135.271620,pps_trial_start,B1_T15,TactileOnly,,,26,26
135.896583,pps_vib_fired,B1_T15,,,,D6,64
140.076669,pps_trial_start,B1_T16,TactileOnly,,,21,21
142.381865,pps_vib_fired,B1_T16,,,,D5,64
147.255600,pps_trial_start,B1_T17,Both,,,33,33
148.519324,pps_response,,,,,,62
