subject_id,session_number,block_number,trial_number,trial_type,correct_response,previous_speed,current_speed,speed_sequence,transition_status,trajectory_offset_cm,trial_trigger_code,response_trigger_code,trigger_timestamp,participant_response,reaction_time_ms,accuracy,trial_interrupted,timestamp
theo,1,1,1,near_hit,MISS,none,slow,start-slow,start,-35.25,0,0,0.0000,MISS,2631.80,1,0,2026-07-09T16:17:45.7355187+02:00
theo,1,1,2,clear_miss,MISS,slow,slow,slow-slow,repetition,67.71,0,0,0.0000,MISS,1349.92,1,0,2026-07-09T16:17:57.8887284+02:00
theo,1,1,3,near_miss,MISS,slow,slow,slow-slow,repetition,47.39,0,0,0.0000,MISS,1446.37,1,0,2026-07-09T16:18:11.1565383+02:00
theo,1,1,4,clear_hit,HIT,slow,slow,slow-slow,repetition,7.82,0,0,0.0000,HIT,905.88,1,0,2026-07-09T16:18:24.0344128+02:00
theo,1,1,5,near_hit,MISS,slow,fast,slow-fast,transition,-35.16,0,0,0.0000,MISS,668.10,1,0,2026-07-09T16:18:37.6228921+02:00
theo,1,1,6,clear_miss,MISS,fast,fast,fast-fast,repetition,-87.83,0,0,0.0000,MISS,599.39,1,0,2026-07-09T16:18:43.1919655+02:00
theo,1,1,7,near_hit,MISS,fast,fast,fast-fast,repetition,40.75,0,0,0.0000,HIT,571.63,0,0,2026-07-09T16:18:48.7330355+02:00
theo,1,1,8,near_miss,MISS,fast,slow,fast-slow,transition,52.99,0,0,0.0000,MISS,2129.95,1,0,2026-07-09T16:18:55.6668482+02:00
theo,1,1,9,near_hit,MISS,slow,slow,slow-slow,repetition,43.49,0,0,0.0000,MISS,919.10,1,0,2026-07-09T16:19:08.1680373+02:00
theo,1,1,10,clear_hit,HIT,slow,slow,slow-slow,repetition,-9.02,0,0,0.0000,HIT,1517.72,1,0,2026-07-09T16:19:22.2298508+02:00
theo,1,1,11,near_hit,MISS,slow,fast,slow-fast,transition,-34.06,0,0,0.0000,MISS,766.34,1,0,2026-07-09T16:19:35.3159886+02:00
theo,1,1,12,clear_miss,MISS,fast,fast,fast-fast,repetition,59.77,0,0,0.0000,MISS,807.74,1,0,2026-07-09T16:19:41.4412345+02:00
theo,1,1,13,near_hit,MISS,fast,fast,fast-fast,repetition,34.22,0,0,0.0000,MISS,807.53,1,0,2026-07-09T16:19:47.3723859+02:00
theo,1,1,14,clear_miss,MISS,fast,fast,fast-fast,repetition,62.18,0,0,0.0000,MISS,653.50,1,0,2026-07-09T16:19:52.6767164+02:00
theo,1,1,15,near_hit,MISS,fast,fast,fast-fast,repetition,33.40,0,0,0.0000,MISS,1099.58,1,0,2026-07-09T16:19:58.6636458+02:00
theo,1,1,16,near_hit,MISS,fast,slow,fast-slow,transition,-38.16,0,0,0.0000,HIT,1072.33,0,0,2026-07-09T16:20:04.6770650+02:00
theo,1,1,17,near_hit,MISS,slow,slow,slow-slow,repetition,40.27,0,0,0.0000,HIT,1350.53,0,0,2026-07-09T16:20:18.7796815+02:00
theo,1,1,18,near_miss,MISS,slow,slow,slow-slow,repetition,55.94,0,0,0.0000,MISS,2450.59,1,0,2026-07-09T16:20:33.0927016+02:00
theo,1,1,19,clear_miss,MISS,slow,slow,slow-slow,repetition,-89.58,0,0,0.0000,MISS,2144.33,1,0,2026-07-09T16:20:45.9009572+02:00
theo,1,1,20,near_miss,MISS,slow,slow,slow-slow,repetition,50.05,0,0,0.0000,HIT,752.79,0,0,2026-07-09T16:20:57.6645368+02:00
theo,1,1,21,near_hit,MISS,slow,fast,slow-fast,transition,33.94,0,0,0.0000,HIT,1962.70,0,0,2026-07-09T16:21:12.4635272+02:00
theo,1,1,22,near_miss,MISS,fast,fast,fast-fast,repetition,45.56,0,0,0.0000,HIT,793.48,0,0,2026-07-09T16:21:16.8769613+02:00
theo,1,1,23,clear_hit,HIT,fast,fast,fast-fast,repetition,-0.66,0,0,0.0000,HIT,1002.36,1,0,2026-07-09T16:21:22.4176423+02:00
theo,1,1,24,clear_miss,MISS,fast,fast,fast-fast,repetition,86.91,0,0,0.0000,MISS,626.20,1,0,2026-07-09T16:21:27.8888687+02:00
theo,1,1,25,near_hit,MISS,fast,slow,fast-slow,transition,42.28,0,0,0.0000,HIT,793.39,0,0,2026-07-09T16:21:33.8611631+02:00
theo,1,1,26,near_hit,MISS,slow,slow,slow-slow,repetition,42.47,0,0,0.0000,MISS,2324.89,1,0,2026-07-09T16:21:48.9955093+02:00
theo,1,1,27,clear_hit,HIT,slow,slow,slow-slow,repetition,-0.63,0,0,0.0000,HIT,1100.29,1,0,2026-07-09T16:22:01.5947511+02:00
