Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
6.752680,phase_intro,,,,,,51
8.131657,phase_controller_practice,,,,,,32
12.796272,phase_difficult_practice,,,,,,35
13.936702,block_triL_start,,,,,,61
13.965013,trial_spawn,PRACTICE_T01,near_hit,Miss,,7,7
15.023177,controller_left,,,,,,40
27.135923,trial_spawn,PRACTICE_T02,near_miss,Miss,,13,13
30.838748,controller_right,,,,,,41
40.361479,trial_spawn,PRACTICE_T03,clear_miss,Miss,,19,19
42.672455,controller_right,,,,,,41
54.366748,trial_spawn,PRACTICE_T04,clear_hit,Hit,,1,1
56.219009,controller_left,,,,,,40
65.880622,block_end,,,,,,30
74.025029,phase_block,,,,,,25
74.025029,block_triL_start,,,,,,61
74.038334,trial_spawn,B1_T01,near_hit,Miss,,7,7
76.670128,controller_right,,,,,,41
87.474127,trial_spawn,B1_T02,clear_miss,Miss,,20,20
88.824053,controller_right,,,,,,41
100.645757,trial_spawn,B1_T03,near_miss,Miss,,14,14
102.092133,controller_right,,,,,,41
114.064447,trial_spawn,B1_T04,clear_hit,Hit,,2,2
114.970329,controller_left,,,,,,40
127.890178,trial_spawn,B1_T05,near_hit,Miss,,12,12
128.558277,controller_right,,,,,,41
133.528312,trial_spawn,B1_T06,clear_miss,Miss,,23,23
134.127698,controller_right,,,,,,41
139.097275,trial_spawn,B1_T07,near_hit,Miss,,11,11
139.668904,controller_left,,,,,,40
144.472057,trial_spawn,B1_T08,near_miss,Miss,,15,15
146.602014,controller_right,,,,,,41
158.184223,trial_spawn,B1_T09,near_hit,Miss,,8,8
159.103314,controller_right,,,,,,41
171.647094,trial_spawn,B1_T10,clear_hit,Hit,,2,2
173.164818,controller_left,,,,,,40
185.484955,trial_spawn,B1_T11,near_hit,Miss,,12,12
186.251297,controller_right,,,,,,41
191.569449,trial_spawn,B1_T12,clear_miss,Miss,,23,23
192.377184,controller_right,,,,,,41
197.499859,trial_spawn,B1_T13,near_hit,Miss,,11,11
198.307389,controller_right,,,,,,41
202.958793,trial_spawn,B1_T14,clear_miss,Miss,,23,23
203.612282,controller_right,,,,,,41
208.499882,trial_spawn,B1_T15,near_hit,Miss,,11,11
209.599462,controller_right,,,,,,41
214.540721,trial_spawn,B1_T16,near_hit,Miss,,9,9
215.613059,controller_left,,,,,,40
228.365317,trial_spawn,B1_T17,near_hit,Miss,,8,8
229.715844,controller_left,,,,,,40
241.577371,trial_spawn,B1_T18,near_miss,Miss,,14,14
244.027969,controller_right,,,,,,41
254.692222,trial_spawn,B1_T19,clear_miss,Miss,,20,20
256.836544,controller_right,,,,,,41
267.846977,trial_spawn,B1_T20,near_miss,Miss,,14,14
268.599775,controller_left,,,,,,40
281.436883,trial_spawn,B1_T21,near_hit,Miss,,12,12
283.399586,controller_left,,,,,,40
287.019341,trial_spawn,B1_T22,near_miss,Miss,,17,17
287.812829,controller_left,,,,,,40
292.351089,trial_spawn,B1_T23,clear_hit,Hit,,5,5
293.353435,controller_left,,,,,,40
298.198402,trial_spawn,B1_T24,clear_miss,Miss,,23,23
298.824591,controller_right,,,,,,41
304.003671,trial_spawn,B1_T25,near_hit,Miss,,9,9
304.797057,controller_left,,,,,,40
317.605906,trial_spawn,B1_T26,near_hit,Miss,,8,8
319.930789,controller_right,,,,,,41
323.342175,controller_left,,,,,,40
331.430230,trial_spawn,B1_T27,clear_hit,Hit,,2,2
332.530532,controller_left,,,,,,40
345.380714,trial_spawn,B1_T28,near_miss,Miss,,18,18
346.870151,controller_right,,,,,,41
350.698176,trial_spawn,B1_T29,clear_hit,Hit,,5,5
351.672970,controller_left,,,,,,40
356.951097,trial_spawn,B1_T30,near_miss,Miss,,17,17
358.371130,controller_right,,,,,,41
362.714631,trial_spawn,B1_T31,near_miss,Miss,,15,15
363.730133,controller_left,,,,,,40
375.786355,trial_spawn,B1_T32,clear_miss,Miss,,20,20
376.718736,controller_right,,,,,,41
389.540444,trial_spawn,B1_T33,near_miss,Miss,,14,14
391.099881,controller_right,,,,,,41
402.877026,trial_spawn,B1_T34,near_hit,Miss,,8,8
404.980905,controller_left,,,,,,40
415.965001,trial_spawn,B1_T35,near_hit,Miss,,12,12
416.966881,controller_right,,,,,,41
421.575778,trial_spawn,B1_T36,clear_miss,Miss,,23,23
422.341649,controller_right,,,,,,41
426.977750,trial_spawn,B1_T37,near_miss,Miss,,17,17
427.715265,controller_right,,,,,,41
432.811365,trial_spawn,B1_T38,clear_hit,Hit,,5,5
433.465829,controller_left,,,,,,40
438.198798,trial_spawn,B1_T39,near_miss,Miss,,15,15
