subject_id,session_number,block_number,trial_number,trial_type,response_made,current_speed,width,distance_level,trial_start_ms,stimulus_onset_ms,position_D7_ms,position_D6_ms,position_D5_ms,position_D4_ms,position_D3_ms,position_D2_ms,position_D1_ms,vibrotactile_onset_ms,response_time_ms,reaction_time_ms,vibration_device,trial_interrupted,timestamp
theo,1,1,1,VT,1,slow,narrow,D4,41519.326,41519.326,41519.326,42160.035,42480.050,42758.599,43050.836,43371.077,44011.196,42758.599,43078.712,320.1,None,0,2026-07-09T15:18:14.1847017+02:00
theo,1,1,2,T,1,slow,narrow,D4,45236.689,,,,,,,,,46489.981,46782.197,292.2,None,0,2026-07-09T15:18:17.9014310+02:00
theo,1,1,3,VT,1,slow,narrow,D5,48954.267,48954.267,48954.267,49594.039,49914.710,50192.820,50485.504,50805.595,51446.175,49914.710,50206.707,292.0,None,0,2026-07-09T15:18:21.6180363+02:00
theo,1,1,4,VT,1,fast,narrow,D3,52671.219,52671.219,52671.219,52922.080,53047.156,53158.665,53284.104,53409.691,53660.267,53284.104,53548.637,264.5,None,0,2026-07-09T15:18:25.3361693+02:00
theo,1,1,5,VT,1,fast,narrow,D5,56388.913,56388.913,56388.913,56639.652,56765.041,56876.427,57001.725,57127.384,57377.666,56765.041,57001.725,236.7,None,0,2026-07-09T15:18:29.0547129+02:00
theo,1,1,6,VT,1,fast,narrow,D6,60106.575,60106.575,60106.575,60357.017,60482.226,60593.529,60718.963,60844.173,61094.962,60357.017,60649.638,292.6,None,0,2026-07-09T15:18:32.7705132+02:00
theo,1,1,7,VT,1,slow,narrow,D4,63824.025,63824.025,63824.025,64464.779,64784.961,65063.255,65355.613,65675.886,66316.634,65063.255,65300.130,236.9,None,0,2026-07-09T15:18:36.4885183+02:00
theo,1,1,8,T,1,slow,narrow,D7,67541.608,,,,,,,,,67541.608,73040.420,5498.8,None,0,2026-07-09T15:18:43.2006093+02:00
theo,1,1,9,VT,1,slow,narrow,D6,74251.274,74251.274,74251.274,74891.890,75211.869,75489.857,75782.249,76102.651,76743.078,74891.890,75225.549,333.7,None,0,2026-07-09T15:18:46.9151895+02:00
theo,1,1,10,VT,1,slow,narrow,D7,77968.238,77968.238,77968.238,78608.517,78928.717,79207.412,79499.858,79820.046,80460.564,77968.238,80057.016,2088.8,None,0,2026-07-09T15:18:50.6326824+02:00
theo,1,1,11,VT,1,fast,narrow,D3,81685.956,81685.956,81685.956,81936.608,82061.528,82172.944,82298.427,82423.635,82674.274,82298.427,82618.668,320.2,None,0,2026-07-09T15:18:54.3504464+02:00
theo,1,1,12,T,1,fast,narrow,D1,85403.143,,,,,,,,,86406.173,86725.668,319.5,None,0,2026-07-09T15:18:58.0672710+02:00
theo,1,1,13,VT,1,fast,narrow,D5,89119.962,89119.962,89119.962,89370.678,89495.662,89606.947,89732.140,89857.981,90108.324,89495.662,89815.739,320.1,None,0,2026-07-09T15:19:01.7841193+02:00
theo,1,1,14,VT,1,slow,narrow,D4,92836.678,92836.678,92836.678,93477.415,93797.469,94075.837,94367.849,94688.112,95328.431,94075.837,94409.772,333.9,None,0,2026-07-09T15:19:05.5006933+02:00
