Time,EventCode,TrialId,Category,Expected,Received,Extra,TriggerValue
8.315891,pps_trial_start,PRACTICE_T01,TactileOnly,,,17,17
9.569382,pps_vib_fired,PRACTICE_T01,,,,D4,127
9.861308,pps_response,,,,,,62
12.033778,pps_trial_start,PRACTICE_T02,TactileOnly,,,14,14
12.660396,pps_vib_fired,PRACTICE_T02,,,,D3,127
12.938834,pps_response,,,,,,62
17.101145,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
19.203702,pps_response,,,,,,62
20.818934,pps_trial_start,PRACTICE_T02,VisualOnly,,,2,2
21.807118,pps_response,,,,,,62
26.052425,pps_trial_start,PRACTICE_T01,VisualOnly,,,1,1
29.769133,pps_trial_start,PRACTICE_T02,Both,,,45,45
31.008422,pps_vib_fired,PRACTICE_T02,,,,D4,127
31.356392,pps_response,,,,,,62
33.487014,pps_trial_start,PRACTICE_T03,Both,,,42,42
34.099966,pps_vib_fired,PRACTICE_T03,,,,D3,127
34.392164,pps_response,,,,,,62
37.579812,pps_session_start,,,,,,61
41.519326,pps_trial_start,B1_T01,Both,,,45,45
42.758599,pps_vib_fired,B1_T01,,,,D4,127
43.078712,pps_response,,,,,,62
45.236689,pps_trial_start,B1_T02,TactileOnly,,,17,17
46.489981,pps_vib_fired,B1_T02,,,,D4,127
46.782197,pps_response,,,,,,62
48.954267,pps_trial_start,B1_T03,Both,,,49,49
49.914710,pps_vib_fired,B1_T03,,,,D5,127
50.206707,pps_response,,,,,,62
52.671219,pps_trial_start,B1_T04,Both,,,42,42
53.284104,pps_vib_fired,B1_T04,,,,D3,127
53.548637,pps_response,,,,,,62
56.388913,pps_trial_start,B1_T05,Both,,,50,50
56.765041,pps_vib_fired,B1_T05,,,,D5,127
57.001725,pps_response,,,,,,62
60.106575,pps_trial_start,B1_T06,Both,,,54,54
60.357017,pps_vib_fired,B1_T06,,,,D6,127
60.649638,pps_response,,,,,,62
63.824025,pps_trial_start,B1_T07,Both,,,45,45
65.063255,pps_vib_fired,B1_T07,,,,D4,127
65.300130,pps_response,,,,,,62
67.541608,pps_trial_start,B1_T08,TactileOnly,,,29,29
67.541608,pps_vib_fired,B1_T08,,,,D7,127
73.040420,pps_response,,,,,,62
74.251274,pps_trial_start,B1_T09,Both,,,53,53
74.891890,pps_vib_fired,B1_T09,,,,D6,127
75.225549,pps_response,,,,,,62
77.968238,pps_trial_start,B1_T10,Both,,,57,57
77.968238,pps_vib_fired,B1_T10,,,,D7,127
80.057016,pps_response,,,,,,62
81.685956,pps_trial_start,B1_T11,Both,,,42,42
82.298427,pps_vib_fired,B1_T11,,,,D3,127
82.618668,pps_response,,,,,,62
85.403143,pps_trial_start,B1_T12,TactileOnly,,,6,6
86.406173,pps_vib_fired,B1_T12,,,,D1,127
86.725668,pps_response,,,,,,62
89.119962,pps_trial_start,B1_T13,Both,,,50,50
